_id,id,name,start_duration,end_duration,start_registration,end_registration,credits_count,activity_type,location,location_kotakab_code,participants_count,mitra_id,certified,logo,mitra_name,published_time
6659488a8dba1a49d44658fb,990d0bda-d778-11ee-8afc-de20c4ed444c,CYBERSECURITY: Skill Penting Yang Dibutuhkan Cybersecurity Engineer,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Yogyakarta,046000,0,a4a8f508-ec6e-4758-9ec2-abd6e38b3da1,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_9a819463-3fec-43c2-ad65-a78de78bfca0.png,Gama Multi Group,2024-05-16T09:11:00Z
6659488a8dba1a49d44658fc,1fe0fc0a-e0e6-11ee-91f1-9e7c6fd4b809,Studi Independen Bersertifikat Pengembang Gim (Game Developer),2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Bandung,026000,0,ed4e50da-e02b-4a08-8b88-a5f0acbef5b5,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_23c70739-70c4-44ab-a94f-339bf9b865a2.jpg,Agate,2024-05-16T09:01:00Z
6659488a8dba1a49d44658fd,01033c20-f31d-11ee-b227-5a5e7a11ce1c,Android Mobile Developer In Industry 4.0 For Manufacturing Industry,2024-08-06,2024-12-20,2024-05-01,2024-07-12,20,ONLINE,Kab. Sleman,040200,0,ba16e287-a822-457d-9d45-5b2e5a47af1f,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,STECHOQ,2024-05-16T09:00:00Z
6659488a8dba1a49d44658fe,0944f519-e68a-11ee-b6e9-92aef1427b7c,Meta Digital Marketer,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Jakarta Barat,016200,0,c8242ab7-91d7-434c-9513-31608f3ba8de,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c8b1e316-fd67-470d-b579-c323c4d1ae42.png,MyEduSolve,2024-05-16T09:00:00Z
6659488a8dba1a49d44658ff,1efb455a-f320-11ee-b227-5a5e7a11ce1c,UI/UX Specialist In Industry 4.0 For Manufacturing Industry,2024-08-06,2024-12-20,2024-05-01,2024-07-12,20,ONLINE,Kab. Sleman,040200,0,ba16e287-a822-457d-9d45-5b2e5a47af1f,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,STECHOQ,2024-05-16T09:00:00Z
6659488a8dba1a49d4465900,0b675e98-f322-11ee-b227-5a5e7a11ce1c,Hardware Engineering Specialist In Industry 4.0 For Medical Device Industry,2024-08-06,2024-12-20,2024-05-01,2024-07-12,20,ONLINE,Kab. Sleman,040200,0,ba16e287-a822-457d-9d45-5b2e5a47af1f,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,STECHOQ,2024-05-16T09:00:00Z
6659488a8dba1a49d4465901,b80029cb-f325-11ee-b227-5a5e7a11ce1c,Lean Manufacturing Specialist In Industry 4.0 For Manufacturing Industry,2024-08-06,2024-12-20,2024-05-01,2024-07-12,20,ONLINE,Kab. Sleman,040200,0,ba16e287-a822-457d-9d45-5b2e5a47af1f,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,STECHOQ,2024-05-16T09:00:00Z
6659488a8dba1a49d4465902,dfa50d8f-f326-11ee-b227-5a5e7a11ce1c,3D Designing Specialist In Industry 4.0 For Creative Industries,2024-08-06,2024-12-20,2024-05-01,2024-07-12,20,ONLINE,Kab. Sleman,040200,0,ba16e287-a822-457d-9d45-5b2e5a47af1f,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,STECHOQ,2024-05-16T09:00:00Z
6659488a8dba1a49d4465903,8c0fa78a-f31b-11ee-b227-5a5e7a11ce1c,Artificial Intelligence In Industry 4.0 For Medical Device Industry,2024-08-06,2024-12-20,2024-05-01,2024-07-12,20,ONLINE,Kab. Sleman,040200,0,ba16e287-a822-457d-9d45-5b2e5a47af1f,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,STECHOQ,2024-05-16T09:00:00Z
6659488a8dba1a49d4465904,510699b1-f324-11ee-b227-5a5e7a11ce1c,Mechanical Engineering Specialist In Industry 4.0 For Manufacturing Industry,2024-08-06,2024-12-20,2024-05-01,2024-07-12,20,ONLINE,Kab. Sleman,040200,0,ba16e287-a822-457d-9d45-5b2e5a47af1f,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,STECHOQ,2024-05-16T09:00:00Z
6659488a8dba1a49d4465905,a079e19c-f31e-11ee-b227-5a5e7a11ce1c,Full-Stack Specialist In Industry 4.0 For Manufacturing Industry,2024-08-06,2024-12-20,2024-05-01,2024-07-12,20,ONLINE,Kab. Sleman,040200,0,ba16e287-a822-457d-9d45-5b2e5a47af1f,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_b693d159-3ec1-4644-b198-b107e51a3b83.png,STECHOQ,2024-05-16T09:00:00Z
6659488a8dba1a49d4465906,cc7ee8b4-e682-11ee-b6e9-92aef1427b7c,Data Analyst,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Jakarta Barat,016200,0,c8242ab7-91d7-434c-9513-31608f3ba8de,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c8b1e316-fd67-470d-b579-c323c4d1ae42.png,MyEduSolve,2024-05-16T09:00:00Z
6659488a8dba1a49d4465907,685924a3-e68c-11ee-b6e9-92aef1427b7c,UI/UX Designer,2024-08-06,2024-12-20,2024-05-13,2024-06-10,20,ONLINE,Kota Jakarta Barat,016200,0,c8242ab7-91d7-434c-9513-31608f3ba8de,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_c8b1e316-fd67-470d-b579-c323c4d1ae42.png,MyEduSolve,2024-05-16T09:00:00Z
6659488a8dba1a49d4465908,283fcca5-e5a7-11ee-be9f-1a40d0052568,Mobile Application Development (Flutter),2024-08-06,2024-12-20,2024-05-16,2024-07-12,20,ONLINE,Kota Jakarta Selatan,016300,0,8cc1b038-c87f-467c-8215-4da00832f90b,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ebd245c6-6577-4cc5-845b-c8a61d386d5a.jpg,LearningX,2024-05-16T08:08:00Z
6659488a8dba1a49d4465909,b4c3b819-e5a1-11ee-be9f-1a40d0052568,Full Stack Web Development,2024-08-06,2024-12-20,2024-05-16,2024-07-12,20,ONLINE,Kota Jakarta Selatan,016300,0,8cc1b038-c87f-467c-8215-4da00832f90b,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_ebd245c6-6577-4cc5-845b-c8a61d386d5a.jpg,LearningX,2024-05-16T08:08:00Z
6659488a8dba1a49d446590a,fcafbf51-02e5-11ef-8ad6-764062c2ca38,Data Engineer With SQL Approach,2024-08-06,2024-12-20,2024-04-16,2024-06-10,20,ONLINE,Kota Jakarta Barat,016200,0,88c462bc-fe40-410a-9d2a-5264c0f50950,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1f813afe-a2cc-4a94-805e-109cba5a6a5d.png,Metrodata Academy,2024-05-15T23:22:00Z
6659488a8dba1a49d446590b,3f9e7419-02d9-11ef-8ad6-764062c2ca38,Cyber Force - BLUE Team,2024-08-06,2024-12-20,2024-04-16,2024-06-10,20,ONLINE,Kota Jakarta Barat,016200,0,88c462bc-fe40-410a-9d2a-5264c0f50950,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1f813afe-a2cc-4a94-805e-109cba5a6a5d.png,Metrodata Academy,2024-05-15T23:22:00Z
6659488a8dba1a49d446590c,eff5719e-02e8-11ef-8ad6-764062c2ca38,Full-Stack Java Developer,2024-08-06,2024-12-20,2024-04-16,2024-06-10,20,ONLINE,Kota Jakarta Barat,016200,0,88c462bc-fe40-410a-9d2a-5264c0f50950,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1f813afe-a2cc-4a94-805e-109cba5a6a5d.png,Metrodata Academy,2024-05-15T23:22:00Z
6659488a8dba1a49d446590d,849167de-02dc-11ef-8ad6-764062c2ca38,Cyber Force - RED Team,2024-08-06,2024-12-20,2024-04-16,2024-06-10,20,ONLINE,Kota Jakarta Barat,016200,0,88c462bc-fe40-410a-9d2a-5264c0f50950,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1f813afe-a2cc-4a94-805e-109cba5a6a5d.png,Metrodata Academy,2024-05-15T23:22:00Z
6659488a8dba1a49d446590e,dd745d79-02e1-11ef-8ad6-764062c2ca38,Data Analytic With Business Intelligence Tools,2024-08-06,2024-12-20,2024-04-16,2024-06-10,20,ONLINE,Kota Jakarta Barat,016200,0,88c462bc-fe40-410a-9d2a-5264c0f50950,true,https://storage.googleapis.com/kampusmerdeka_kemdikbud_go_id/mitra/mitra_1f813afe-a2cc-4a94-805e-109cba5a6a5d.png,Metrodata Academy,2024-05-15T23:22:00Z
